ID,Name,Nationality,BeginDate,EndDate,Gender
6210,Otto Wagner,Austrian,1841,1918,male
7470,Christian de Portzamparc,French,1944,1976,male
7605,Emil Hoppe,Austrian,1876,1957,male
7056,Bernard Tschumi,Georgian,1944,1992,male
2964,Louis I. Kahn,American,1901,1974,male
7607,Marcel Kammerer,Austrian,1878,1969,male
7608,Otto Schonthal,Austrian,1878,1961,male
8100,Hans Poelzig,German,1869,1936,male
47,Raimund Abraham,American,1933,2010,male
1863,Roger C. Ferri,American,1949,1991,male
2308,Michael Graves,American,1934,2015,male
7166,Ludwig Mies van der Rohe,American,1886,1969,male
27,Erik Gunnar Asplund,Swedish,1885,1940,male
2702,Steven Holl,American,1947,1984,male
8219,Erich Mendelsohn,American,1887,1953,male
8101,Paolo Soleri,American,1919,2013,male
5076,Paul Rudolph,American,1918,1997,male
6950,Peter Cook,British,1936,2013,male
6953,Zaha Hadid,British,1950,2016,female
6954,Fumihiko Maki,Japanese,1928,2007,male
6459,Frank Lloyd Wright,American,1867,1959,male
451,Mario Bellini,Italian,1935,2030,male
141,Emilio Ambasz,Argentine,1943,1987,male
7055,Tadao Ando,Japanese,1941,1963,male
2837,Arata Isozaki,Japanese,1931,1988,male
7933,Neil M. Denari,American,1957,2014,male
2864,David Jacob,American,1928,2009,male
696,Mario Botta,Swiss,1943,2029,male
2030,R. Buckminster Fuller,American,1895,1983,male
3925,Alessandro Mendini,Italian,1931,2012,male
6934,Roberto Burle Marx,Brazilian,1909,1994,male
399,Herbert Bayer,American,1900,1985,male
3250,Leon Krier,Luxembourgish,1946,2025,male
7527,Daniel Libeskind,American,1946,1991,male
7661,Aldo Rossi,Italian,1931,1997,male
7566,Joel Sanders,American,1956,1988,male
8125,Massimo Scolari,Italian,1943,2003,male
5498,Kenneth Snelson,American,1927,2016,male
3910,Richard Meier,American,1934,1971,male
7229,Rafael Vinoly,American,1944,2034,male
6968,Santiago Calatrava,Spanish,1951,2001,male
7569,Norman Foster,British,1935,2003,male
3091,Frederick Kiesler,American,1890,1965,male
1318,Jason Crum,American,1935,2004,male
6201,Konrad Wachsmann,American,1901,1980,male
632,Ricardo Bofill,Spanish,1939,1965,male
2108,Frank O. Gehry,American,1929,1952,male
7528,Cesar Pelli,American,1926,1963,male
7418,Chuck Hoberman,American,1956,1979,male
2705,Hans Hollein,Austrian,1934,2014,male
7420,Yoshito Takahashi,Japanese,1962,2019,male
6076,Theo van Doesburg,Dutch,1883,1931,male
5668,James Stirling,British,1926,1992,male
1093,Iakov Chernikhov,Russian,1889,1951,male
7606,Robert A. M. Stern,American,1939,1971,male
7571,Harry C. Wolf,American,1935,1998,male
7530,Mehrdad Yazdani,Iranian,1959,2017,male
3426,Le Corbusier (Charles-Edouard Jeanneret),French,1887,1965,male
4312,Oscar Nitzchke,American,1900,1991,male
6966,Edward Larrabee Barnes,American,1915,2004,male
6967,Kisho Kurokawa,Japanese,1934,2007,male
4277,Richard Neutra,American,1892,1970,male
8051,Wiel Arets,Dutch,1955,2046,male
7526,Toyo Ito,Japanese,1941,1994,male
6956,Rem Koolhaas,Dutch,1944,2017,male
4570,Gaetano Pesce,Italian,1939,2010,male
8057,Bernard Tschumi Architects,Swiss,1832,1880,non-binary
8805,Rafael Vinoly Architects,American,1704,1789,male
8855,Tod Williams Billie Tsien and Associates,American,1845,1890,female
4612,Walter Pichler,Austrian,1936,2012,male
2581,John Hejduk,American,1929,2000,male
8108,Andrea Branzi,Italian,1938,1992,male
6969,Peter Eisenman,American,1932,1963,male
8109,Yona Friedman,French,1923,2020,male
8113,Ron Herron,British,1930,1994,male
8115,Max Peintner,Austrian,1937,1988,male
7986,Cedric Price,British,1934,2003,male
5580,Friedrich St. Florian,American,1932,2014,male
6168,Lauretta Vinciarelli,Italian,1943,2012,female
5536,Ettore Sottsass,Italian,1917,2007,male
7987,Michael Webb,British,1937,1967,male
1953,Foster Associates,British,1967,1987,male
6132,Robert Venturi,American,1925,2018,male
34,Alvar Aalto,Finnish,1898,1976,male
22754,"Richard Meier & Associates, Architects",Egyptian,1963,2012,male
2424,Charles Gwathmey,American,1938,2009,male
7529,Ben van Berkel,Dutch,1957,1996,male
2927,Philip Johnson,American,1906,2005,male
8987,"Toyo Ito & Associates, Architects",Japanese,1971,2030,male
22753,"Richard Meier & Partners, Architects",Croatian,1963,2016,female
7450,Jean Nouvel,French,1945,2018,male
7563,Kazuyo Sejima & Associates,Japanese,1987,2009,male
7696,Nicholas Grimshaw,British,1939,1966,male
7609,Steven Holl Architects,American,1976,2040,non-binary
1235,Hans Coper,British,1920,1981,male
4729,James Prestini,American,1908,1993,male
1968,Kaj Franck,Finnish,1911,1989,male
2694,Josef Hoffmann,Austrian,1870,1956,male
24714,Gustave Falconnier,Swiss,1701,1760,male
6011,Unknown Designer,Nationality unknown,1816,1844,female
1249,"Corning Glass Works, Corning, NY",American,1851,1943,female
4532,Ronald Hayes Pearson,American,1924,1996,male
659,Rodolfo Bonetto,Italian,1929,1991,male
22512,"G. Byrn Company, Copenhagen",Danish,1895,1940,male
4365,Robert Oberheim,German,1938,2021,male
26166,Carl Aubock,Austrian,1900,1957,male
7147,Reinhold Weiss,German,1934,1982,male
7308,Jurgen Greubel,German,1865,1915,male
22955,David Walter Beck,American,1915,2001,male
6155,Massimo Vignelli,Italian,1931,2014,male
7378,Roger Tallon,French,1929,2011,male
8451,Dieter Rams,German,1932,1977,male
4163,Bruno Munari,Italian,1907,1998,male
1194,Gino Colombini,Italian,1915,1948,male
5970,Earl S. Tupper,American,1907,1983,male
817,Kenneth Brozen,American,1927,1989,male
2777,Gene Hurwitt,American,1906,1988,male
4988,Nick Roericht,German,1932,2007,male
6499,George Ygfors,Swedish,1926,1995,male
6403,Thomas W. Winstead,American,1918,1993,male
7381,Bertel Gardberg,Finnish,1916,1964,male
5646,Magnus Stephensen,Danish,1903,1984,male
7355,Sigurd Persson,Swedish,1914,2010,male
6460,Russel Wright,American,1904,1976,male
3766,Enzo Mari,Italian,1932,2020,male
8688,Jens H. Quistgaard,Danish,1919,2008,male
4777,Peter Raacke,German,1928,2004,male
3308,Masayuki Kurokawa,Japanese,1937,2008,male
6228,Don Wallance,American,1909,1990,male
3877,Charles H. McCrea,American,1815,1887,male
6555,Walter Zeischegg,Austrian,1917,1983,male
7212,Koen De Winter,Belgian,1943,2015,male
8691,Michio Arai,Japanese,1938,2007,male
5024,"Rosenthal Porzellan A.G., Germany",German,1879,1916,female
22959,Nason & Moretti Studio,Italian,1971,2022,female
177,Henning Andreasen,Danish,1923,1994,male
2478,Peter Hamburger,American,1941,1995,male
5216,Moik Schiele,Swiss,1938,1993,female
7329,Emily Belding,American,1904,1999,female
7333,Alexander Girard,American,1907,1993,male
2909,Jacob Jensen,Danish,1926,2015,male
1196,Joe Colombo,Italian,1930,1971,male
9206,S.M. Hexter Company,Nationality unknown,1928,2002,non-binary
9222,"Konwiser Inc., New York, NY",American,1702,1732,non-binary
9224,"Nikon (Nippon Kogaku K.K.), Tokyo",Japanese,1917,2015,male
41144,Giorgio Berretti,Italian,1941,2034,male
4324,Isamu Noguchi,American,1904,1988,male
7439,Marco Ferreri,Italian,1958,2054,male
4809,Paul Rand,American,1914,1996,male
6366,Marguerite Wildenhain,American,1896,1985,female
438,Peter Behrens,German,1868,1940,male
6234,Carl Walters,American,1883,1955,male
7341,Martin,Nationality unknown,1763,1812,male
5718,Nikolai Suetin,Russian,1897,1954,male
7440,Kazuo Kawasaki,Japanese,1949,1975,male
741,Marianne Brandt,German,1893,1983,female
5810,Leopoldo Tartarini,Italian,1932,1978,male
3207,Makoto Komatsu,Japanese,1943,1976,male
769,Marcel Breuer,American,1902,1981,male
7319,Ugo La Pietra,Italian,1938,1987,male
3570,Ross Littell,American,1924,2000,male
7252,Unknown Designer,Japanese,1982,2036,female
7441,Ross Lovegrove,British,1958,1996,male
1028,Achille Castiglioni,Italian,1918,2002,male
9304,"Synthetic Industries, Chattanooga, TN",American,1969,2044,non-binary
1484,Christian Dell,German,1893,1974,male
26838,Hugo Dreyfuss,Afghan,1752,1806,male
7594,Maurizio Ficcadenti,Italian,1970,2057,male
6117,Kristian Vedel,Danish,1923,2003,male
9342,Hoechst Trevira GmbH,German,1946,2008,female
7348,Joel Robinson,American,1923,1951,male
6593,Toots Zynsky,American,1951,2028,female
2869,Arne Jacobsen,Danish,1902,1971,male
8411,Kevin Dwyer,American,1952,2051,male
7336,Eszter Haraszty,American,1920,1994,female
7596,Florence Knoll,American,1917,2019,female
4088,Carlo Moretti,Italian,1934,2021,male
3506,Hugo Leven,German,1874,1956,male
7261,Poul Henningsen,Danish,1894,1967,male
7364,Vera (Vera Neumann),American,1909,1993,female
3688,Vico Magistretti,Italian,1920,2006,male
7467,Rene Herbst,French,1891,1982,male
5865,"Gebruder Thonet, company design",Austrian,1853,1887,female
7598,Bent Hedegaard Nobert,Danish,1959,2046,male
8415,Carl Jacobs,Danish,1925,1999,male
1971,Josef Frank,Swedish,1885,1967,male
7357,Angelo Testa,American,1921,1984,male
8417,Harri Koskinen,Finnish,1970,1991,male
7592,Paolo Rizzatto,Italian,1941,1965,male
7327,Lynn Alexander,American,1920,1963,female
7590,Studio Tetrarc,Italian,1969,2067,non-binary
8418,Philippe Starck,French,1949,1980,male
3830,Bruno Mathsson,Swedish,1907,1988,male
5693,Oskar Strnad,Austrian,1879,1935,male
9580,"Seguso S.R.L., Murano, Italy",Italian,1933,2019,female
1694,Marli Ehrman,American,1904,1982,female
6129,Paolo Venini,Italian,1895,1959,male
2614,Helena Hernmarck,Swedish,1941,2031,female
3364,Richard W. Landis,American,1931,1961,male
5692,Marianne Strengell,American,1909,1998,female
7344,Dorothy Liebes,American,1899,1972,female
3921,Fausto Melotti,Italian,1901,1986,male
309,Benjamin Baldwin,American,1913,1993,male
10027,"The Aluminum Cooking Utensil Co., New York, NY",American,1901,1929,male
525,Palme Berthold,Coptic,1741,1781,female
5225,Peter Schlumbohm,American,1896,1962,male
7330,Yvonne Delattre,Swiss,1766,1842,female
9491,"Joaquin Pottery Co., Stockton, CA",American,1901,1962,male
495,Hagbard Elis Bergh,Swedish,1881,1954,male
3716,Man Ray (Emmanuel Radnitzky),American,1890,1976,male
7338,Jack Lenor Larsen,American,1927,1966,male
5585,Erich Walter Stadler,German,1927,1968,male
